Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,9.487224867,10,pin,0,2617.37,0;13,
1,34.48722487,20,,0,4301.408,3;4;7;9;26,
2,34.48722487,10,,0,0,4;16;17,
3,21.98722487,10,,0,0,5;8;14;15,
4,21.98722487,15,,0,3950.408,1;2;5;25,
5,53.23722487,10,,0,0,6;19;20;28,
6,53.23722487,12.5,,0,3950.408,6;11;12,
7,28.23722487,10,,0,0,7;15;16;21,
8,28.23722487,17.5,,0,3950.408,2;3;8;21,
9,59.48722487,10,roller_no_ydisp,0,2617.37,12;20,
10,40.73722487,10,,0,0,17;18;22;26,
11,40.73722487,17.5,,0,3950.408,9;10;22;27,
12,46.98722487,10,,0,0,18;19;23;27,
13,46.98722487,15,,0,3950.408,10;11;23;28,
14,15.73722487,10,,0,0,13;14;24;25,
15,15.73722487,12.5,,0,3950.408,0;1;24,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,15,W Shapes:W12X26,Steel ASTM A992,,,
1,15,4,W Shapes:W12X26,Steel ASTM A992,,,
2,4,8,W Shapes:W12X26,Steel ASTM A992,,,
3,8,1,W Shapes:W12X26,Steel ASTM A992,,,
4,2,1,W Shapes:W12X26,Steel ASTM A992,,,
5,3,4,W Shapes:W12X26,Steel ASTM A992,,,
6,5,6,W Shapes:W12X26,Steel ASTM A992,,,
7,7,1,W Shapes:W12X26,Steel ASTM A992,,,
8,3,8,W Shapes:W12X26,Steel ASTM A992,,,
9,1,11,W Shapes:W12X26,Steel ASTM A992,,,
10,11,13,W Shapes:W12X26,Steel ASTM A992,,,
11,13,6,W Shapes:W12X26,Steel ASTM A992,,,
12,6,9,W Shapes:W12X26,Steel ASTM A992,,,
13,0,14,W Shapes:W12X26,Steel ASTM A992,,,
14,14,3,W Shapes:W12X26,Steel ASTM A992,,,
15,3,7,W Shapes:W12X26,Steel ASTM A992,,,
16,7,2,W Shapes:W12X26,Steel ASTM A992,,,
17,2,10,W Shapes:W12X26,Steel ASTM A992,,,
18,10,12,W Shapes:W12X26,Steel ASTM A992,,,
19,12,5,W Shapes:W12X26,Steel ASTM A992,,,
20,5,9,W Shapes:W12X26,Steel ASTM A992,,,
21,7,8,W Shapes:W12X26,Steel ASTM A992,,,
22,10,11,W Shapes:W12X26,Steel ASTM A992,,,
23,12,13,W Shapes:W12X26,Steel ASTM A992,,,
24,14,15,W Shapes:W12X26,Steel ASTM A992,,,
25,14,4,W Shapes:W12X26,Steel ASTM A992,,,
26,1,10,W Shapes:W12X26,Steel ASTM A992,,,
27,11,12,W Shapes:W12X26,Steel ASTM A992,,,
28,13,5,W Shapes:W12X26,Steel ASTM A992,,,
