Nodes ,,,,,,,
Index,XCoord(ft),YCoord(ft),Constraint,XForce(kip),YForce(kip),BeamIdxs,
0,34.48722487,20,,0,4301.408,0;11;15,
1,59.48722487,10,roller_no_ydisp,0,2617.37,3;28,
2,28.23722487,13.75,,0,0,4;23;24,
3,28.23722487,17.5,,0,3950.408,4;6;14;15;18,
4,46.98722487,12.5,,0,0,5;9;17;26;27,
5,53.23722487,12.5,,0,3950.408,2;3;5;20,
6,21.98722487,12.5,,0,0,6;7;10;22;23,
7,21.98722487,15,,0,3950.408,7;13;14,
8,40.73722487,13.75,,0,0,8;25;26,
9,40.73722487,17.5,,0,3950.408,0;1;8;16;17,
10,46.98722487,15,,0,3950.408,1;2;9,
11,15.73722487,12.5,,0,3950.408,10;12;13;19,
12,34.48722487,15,,0,0,11;16;18;24;25,
13,9.487224867,10,pin,0,2617.37,12;21,
14,15.73722487,11.25,,0,0,19;21;22,
15,53.23722487,11.25,,0,0,20;27;28,
Beams,,,,,,,
Index,Start Node,End Node,Section Type,Material,Sdir,Tdir,Udir
0,0,9,W Shapes:W12X26,Steel ASTM A992,,,
1,9,10,W Shapes:W12X26,Steel ASTM A992,,,
2,10,5,W Shapes:W12X26,Steel ASTM A992,,,
3,5,1,W Shapes:W12X26,Steel ASTM A992,,,
4,2,3,W Shapes:W12X26,Steel ASTM A992,,,
5,4,5,W Shapes:W12X26,Steel ASTM A992,,,
6,6,3,W Shapes:W12X26,Steel ASTM A992,,,
7,6,7,W Shapes:W12X26,Steel ASTM A992,,,
8,8,9,W Shapes:W12X26,Steel ASTM A992,,,
9,4,10,W Shapes:W12X26,Steel ASTM A992,,,
10,11,6,W Shapes:W12X26,Steel ASTM A992,,,
11,12,0,W Shapes:W12X26,Steel ASTM A992,,,
12,13,11,W Shapes:W12X26,Steel ASTM A992,,,
13,11,7,W Shapes:W12X26,Steel ASTM A992,,,
14,7,3,W Shapes:W12X26,Steel ASTM A992,,,
15,3,0,W Shapes:W12X26,Steel ASTM A992,,,
16,12,9,W Shapes:W12X26,Steel ASTM A992,,,
17,9,4,W Shapes:W12X26,Steel ASTM A992,,,
18,3,12,W Shapes:W12X26,Steel ASTM A992,,,
19,14,11,W Shapes:W12X26,Steel ASTM A992,,,
20,15,5,W Shapes:W12X26,Steel ASTM A992,,,
21,13,14,W Shapes:W12X26,Steel ASTM A992,,,
22,14,6,W Shapes:W12X26,Steel ASTM A992,,,
23,6,2,W Shapes:W12X26,Steel ASTM A992,,,
24,2,12,W Shapes:W12X26,Steel ASTM A992,,,
25,12,8,W Shapes:W12X26,Steel ASTM A992,,,
26,8,4,W Shapes:W12X26,Steel ASTM A992,,,
27,4,15,W Shapes:W12X26,Steel ASTM A992,,,
28,15,1,W Shapes:W12X26,Steel ASTM A992,,,
